Time (s),Volume (m^3),N2,Ar,He,Ne,toluene(1),tolyl(2),C7H8O(3),MHCHD(4),C7H6O(5),O2(6),C7H7O2(7),OH(8),C7H6O2(9),C7H6O2(10),H2O(14),S(514),S(513),S(512),S(656),S(637),S(872),S(871),S(870),HO2(15)
1e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.064141968365874e-31,6.750898176092156e-42,5.906394593282178e-35,0.0,0.2099999999789998,9.358854295427553e-37,9.999999998999985e-16,1.011128279674338e-54,0.0,6.064151327220152e-31,2.0129190160377352e-40,5.522440276564436e-41,1.215802656713978e-41,6.930768184995815e-46,1.0956336279954705e-47,5.121889909085306e-53,9.840469911144152e-54,1.8251794589699717e-54,6.752592638636298e-42
1.023e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.203710167994187e-31,6.986474027290268e-42,6.042331967079773e-35,0.0,0.2099999999789998,9.68543618641872e-37,9.999999998999985e-16,1.0555928382728202e-54,0.0,6.203719853430356e-31,2.083159723969325e-40,5.715112894763765e-41,1.2580465342070856e-41,7.211740033718193e-46,1.1404803270593174e-47,5.347125958514447e-53,1.0273167686777869e-53,1.9053793197118954e-54,6.988207488472039e-42
2.047e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.2417514579098162e-30,2.797996690883756e-41,1.209445754544672e-34,0.0,0.2099999999789998,3.8789082157355175e-36,9.99999999899998e-16,1.6915201205364982e-53,0.0,1.2417553368180285e-30,8.342061042985202e-40,2.286376382558396e-40,4.916741846070979e-41,5.1483587916838274e-45,9.136800682263142e-47,8.568390152429346e-52,1.6419744008370626e-52,2.9866403640248517e-53,2.7983436657204144e-41
4.095e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,2.4845065146970303e-30,1.1198734724749996e-40,2.4198538583905805e-34,0.0,0.2099999999789998,1.5525070989073824e-35,9.999999998999968e-16,2.708462178215783e-52,0.0,2.4845220397680136e-30,3.3382515701821874e-39,9.131419880126823e-40,1.8768735933033587e-40,3.3788283068255077e-44,7.314547220096902e-46,1.3719586188633505e-50,2.6156695074089658e-51,4.582085788325699e-52,1.1199428957045836e-40
8.191e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,4.969993326755586e-30,4.480789981194708e-40,4.840602545018892e-34,0.0,0.2099999999789998,6.211891239799919e-35,9.999999998999942e-16,4.335074665195526e-51,0.0,4.970055445667976e-30,1.3352235601391023e-38,3.638034150367823e-39,6.868731395792724e-40,1.980670417855547e-43,5.853556467366923e-45,2.1958727147795502e-49,4.144111213366936e-50,6.766546976523328e-51,4.4809288559516924e-40
1e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.06768896633327e-30,7.449682769993096e-40,5.909668252618077e-34,0.0,0.2099999999789998,1.0327896190783445e-34,9.999999998999932e-16,1.869656842159679e-50,0.0,6.067792245295177e-30,2.2191071744060806e-38,6.021312585245627e-39,1.0523345586179993e-39,3.811121657354512e-43,1.490310530423528e-44,9.470217147043494e-49,1.7581817729887227e-49,2.597013724100073e-50,7.449852318169953e-40
1.6383e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,9.940873746556795e-30,1.7925328248655394e-39,9.681833212046262e-34,0.0,0.2099999999789998,2.4851091106276996e-34,9.999999998999893e-16,6.937065059246977e-50,0.0,9.941122257467878e-30,5.337862901253024e-38,1.4430636106431376e-38,2.3418537613400506e-39,1.0269811685945933e-42,4.683415573305268e-44,3.513751427868568e-48,6.499634547723324e-49,9.372940570875043e-50,1.7925606027036253e-39
3.2767e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.9882261782875776e-29,7.170231609598807e-39,1.9363246867475065e-33,0.0,0.2099999999789998,9.94098191487655e-34,9.999999998999794e-16,1.1099168104934932e-48,0.0,1.9883255881067583e-29,2.1322504916865757e-37,5.676029238288966e-38,7.190690605536312e-39,4.7949636107545534e-42,3.74664944573798e-43,5.62153698771778e-47,1.0001230975908436e-47,1.1807236943613306e-48,7.170287169072141e-39
6.5535e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.9763546754212944e-29,2.867852109968134e-38,3.8721982744357475e-33,0.0,0.2099999999789998,3.976374050767682e-33,9.999999998999595e-16,1.775575858515974e-47,0.0,3.9767523128266594e-29,8.505019618090536e-37,2.1966804143610646e-37,1.943786427335007e-38,2.0827680327756123e-41,2.99679804040734e-42,8.991717057813971e-46,1.4859792344679233e-46,1.322632783950583e-47,2.867863223698992e-38
9.999999999999999e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.067131409855658e-29,7.391097520301229e-38,5.9074952076745423e-33,0.0,0.2099999999789998,1.0249272453924986e-32,9.999999998999386e-16,1.5776232602535663e-46,0.0,6.068156337102435e-29,2.1822267514034774e-36,5.378574690019444e-37,3.3716762393523217e-38,5.5410711569192e-41,1.4023688874310146e-41,7.987130424191502e-45,1.164053313676794e-45,7.565558179832748e-47,7.391114491893805e-38
