Time (s),dln[C7H8O(3)]/dln[k1]: OH(8)+toluene(1)=MHCHD(4),dln[C7H8O(3)]/dln[k2]: OH(8)+toluene(1)=H2O(14)+tolyl(2),dln[C7H8O(3)]/dln[k4]: O2(6)+MHCHD(4)=S(514),dln[C7H8O(3)]/dln[k14]: O2(6)+MHCHD(4)=HO2(15)+C7H8O(3),dln[C7H8O(3)]/dG[MHCHD(4)],dln[C7H8O(3)]/dG[O2(6)],dln[C7H8O(3)]/dG[S(514)],dln[C7H8O(3)]/dG[S(513)]
8.388607e-09,0.9999999999999999,-2.911149035695218e-12,-0.008532490373190394,0.999199016066319,-0.010849215419502024,-0.010849215419502024,0.009801404142646387,0.001035585142412307
9.999999999999999e-09,0.39545540633863413,-1.7106149467840086e-12,-0.0033537556932372566,0.39498679179949464,-0.006254596208650373,-0.006254596208650373,0.005821647163488655,0.0004280682702406085
1.6777215e-08,0.9999999999999999,-5.823203504644277e-12,-0.008425959928013236,0.9984084557619863,-0.021074549845996157,-0.021074549845996157,0.01992998121992644,0.0011321036284020355
3.3554431e-08,0.9999999999999988,-1.1646631952043486e-11,-0.006464923291187267,0.996838472858401,-0.03300659701603674,-0.03300659701603674,0.03181380108944967,0.0011800694204835707
6.7108863e-08,0.9999999999999979,-2.3293192303462386e-11,-0.004063236498543041,0.993719780291698,-0.042905640151374234,-0.042905640151374234,0.041691911952489266,0.0012008052645092035
9.999999999999998e-08,0.6186628210887285,-2.5831629356447386e-11,-0.0016288659717974719,0.6117485037842806,-0.029610674999771328,-0.029610674999771328,0.028857560479420653,0.0007450829831015221
1.34217727e-07,0.999999999999995,-4.659582711768825e-11,-0.002257730984158929,0.9875396555197016,-0.049162423816682475,-0.049162423816682475,0.04794415381915462,0.0012052723906225847
2.68435455e-07,0.9999999999999907,-9.32544997303297e-11,-0.001172183658971301,0.9753815492389178,-0.05222824527488945,-0.05222824527488945,0.051019051255576896,0.0011962688984099358
5.36870911e-07,0.9999999999999815,-1.8679580711103833e-10,-0.0005822141578153844,0.951830281582987,-0.052872158983425656,-0.052872158983425656,0.05168928371959777,0.0011702167377303076
9.999999999999997e-07,0.898652991289741,-3.300075388209948e-10,-0.0002594489527325868,0.8171848198042801,-0.046199812536896305,-0.046199812536896305,0.04518308512525343,0.0010058402720551948
1.0737418230000002e-06,0.999999999999963,-3.7475597566321663e-10,-0.00027645744959638055,0.9075707040590697,-0.051349039902721445,-0.051349039902721445,0.05021979849107494,0.0011171491470698006
2.1474836470000003e-06,0.9999999999999265,-7.539851435167799e-10,-0.0001228134027950791,0.8289819397584607,-0.047335804836929424,-0.047335804836929424,0.04630372286628287,0.001021026449343917
4.294967295e-06,0.9999999999998522,-1.5242120594510595e-09,-4.87430525899414e-05,0.7027497467808749,-0.04031228610663404,-0.04031228610663404,0.03943709929257308,0.0008658103478682863
8.589934591e-06,0.9999999999996987,-3.102336686965085e-09,-1.6016398688118398e-05,0.5303218715927603,-0.030490305262841976,-0.030490305262841976,0.029829757312994004,0.0006534704569399868
9.999999999999997e-06,0.47307455865675,-2.0022593094339302e-09,-5.590827158007697e-06,0.22020058546432364,-0.012663727858410898,-0.012663727858410898,0.012389449706644204,0.0002713393463923415
1.7179869183e-05,0.9999999999993827,-6.3591887651637855e-09,-3.917192823143206e-06,0.3434160028729353,-0.0197658134469918,-0.0197658134469918,0.019338037528390813,0.0004231922936994599
3.4359738367e-05,0.9999999999987231,-1.3075867787088103e-08,-6.293441940892927e-07,0.19049146354667337,-0.010969148662,-0.010969148662,0.010731855804134424,0.00023475021702001555
6.8719476735e-05,0.9999999999973886,-2.6790873811529267e-08,-5.902470798160958e-08,0.09542096430268834,-0.005495516644064257,-0.005495516644064257,0.005376650720502928,0.00011759224381382793
9.999999999999998e-05,0.7150522231650245,-3.17604362002383e-08,-1.6688472957908073e-08,0.045919696067947956,-0.0026446617080944494,-0.0026446617080944494,0.0025874594737699836,5.6589296940417516e-05
0.000137438953471,0.9999999999946891,-5.447935588549522e-08,-2.9663799478285486e-09,0.04640582348068566,-0.0026727055388560484,-0.0026727055388560484,0.002614897669282421,5.718844223650007e-05
0.000274877906943,0.9999999999892799,-1.100226691886758e-07,-7.616031943535046e-11,0.022721887504203498,-0.0013086531459551222,-0.0013086531459551222,0.0012803484179690129,2.8001434947323287e-05
0.000549755813887,0.999999999978454,-2.211962908618951e-07,-9.760080998145418e-13,0.011234488867749755,-0.0006470436035623675,-0.0006470436035623675,0.0006330487646506442,1.3844880316150381e-05
0.0009999999999999998,0.9089891701420538,-3.8320002563212245e-07,-9.230089143765232e-14,0.005585879158760409,-0.00032171533901123676,-0.00032171533901123676,0.0003147569913699858,6.883787000824245e-06
0.001099511627775,0.9999999999567933,-4.4358621674597207e-07,-5.446212373895964e-15,0.005585881529870308,-0.00032171547586421157,-0.00032171547586421157,0.0003147571252671689,6.883789923172867e-06
0.002199023255551,0.9999999999134704,-8.883868494428484e-07,3.659449679883696e-16,0.002785161445273563,-0.00016040969271994844,-0.00016040969271994825,0.00015694020814650218,3.432308076691927e-06
0.004398046511103,0.9999999998268254,-1.7779976622296456e-06,1.924543159414775e-16,0.0013906435192281882,-8.00932742953074e-05,-8.009327429530654e-05,7.836094519311955e-05,1.7137667156358575e-06
0.008796093022207001,0.9999999996535325,-3.5572210697775577e-06,9.617396157806157e-17,0.0006948380045752485,-4.001877557599951e-05,-4.0018775575995715e-05,3.9153213631022793e-05,8.562872001798932e-07
0.009999999999999998,0.5682858413303687,-2.508555708159889e-06,4.807075771014255e-17,0.0003472993262486319,-2.000249511892618e-05,-2.0002495118894593e-05,1.956986322789811e-05,4.279961167381042e-07
0.017592186044415002,0.9999999993069422,-7.115656909814636e-06,4.807269000080112e-17,0.0003472977260466758,-2.000240295735813e-05,-2.000240295713931e-05,1.9569773063693906e-05,4.279941449247686e-07
0.035184372088831004,0.9999999986137686,-1.4232475700932886e-05,2.4030113920429288e-17,0.00017361809634874209,-9.999429490266475e-06,-9.999429489495131e-06,9.783152863937607e-06,2.139591565670644e-07
0.070368744177663,0.999999997227444,-2.846589745232072e-05,1.2014184671486658e-17,8.680089515099198e-05,-4.999245176745603e-06,-4.999245173736458e-06,4.891117021787825e-06,1.0696953121931257e-07
0.09999999999999998,0.710538410912206,-3.221272379090581e-05,6.007120030021338e-18,4.339901917757528e-05,-2.499540321968325e-06,-2.499540319275958e-06,2.4454780218211547e-06,5.348300534751427e-08
0.140737488355327,0.9999999944548841,-5.693187638376693e-05,6.007281409245838e-18,4.3397946255313083e-05,-2.499478529461577e-06,-2.4994785251361816e-06,2.4454175630687602e-06,5.348168316940766e-08
0.281474976710655,0.9999999889101057,-0.00011386037792561874,3.0031889803358315e-18,2.1697884529742395e-05,-1.2496765616123268e-06,-1.2496765588557063e-06,1.222647438644309e-06,2.673950034449963e-08
0.562949953421311,0.9999999778218949,-0.0002277035623724452,1.5015400516668683e-18,1.0848206840301296e-05,-6.24795924081963e-07,-6.247959176045824e-07,6.112822825312204e-07,1.3368844163925385e-08
0.9999999999999998,0.888203241715084,-0.0003789700236855451,7.507203970970714e-19,5.423870731660308e-06,-3.1238456677813e-07,-3.123845535956042e-07,3.0562802806331117e-07,6.684135153035418e-09
1.1258999068426232,0.9999999556508508,-0.0004553346774250951,7.50658021397614e-19,5.4234563423652746e-06,-3.1236070208886755e-07,-3.123606860420534e-07,3.0560467733298115e-07,6.683624428091205e-09
2.2517998136852473,0.9999999113302733,-0.0009103760139887266,3.7527222343205464e-19,2.7111032808668978e-06,-1.5614436378106352e-07,-1.5614433462028002e-07,1.5276713257624976e-07,3.3410427454350056e-09
4.5035996273704955,0.9999998227750909,-0.0018195760505850557,1.8754489339336442e-19,1.3549325028998002e-06,-7.803652955748692e-08,-7.803647783753519e-08,7.634868467909793e-08,1.6697583349008208e-09
9.007199254740993,0.9999996460078657,-0.003634453040048968,9.369388504437992e-20,6.768489690005677e-07,-3.898271049251125e-08,-3.898260998579121e-08,3.813956051748307e-08,8.341185083278966e-10
9.999999999999998,0.5567290924002379,-0.0024219423110944617,4.698925191261031e-20,3.394516047840481e-07,-1.9550512198637128e-08,-1.9550444782616273e-08,1.9127656886989183e-08,4.183249625976967e-10
18.014398509481985,0.9999992938402252,-0.007250174099632711,4.676283963812032e-20,3.378084898275051e-07,-1.9455882624218347e-08,-1.945567813757074e-08,1.903506734522831e-08,4.162995052769724e-10
36.02879701896397,0.9999985949262958,-0.014425955546229914,2.329482416003822e-20,1.6829021624663315e-07,-9.69257782181512e-09,-9.692176734786624e-09,9.482935911804068e-09,2.0739280183568284e-10
72.05759403792794,0.9999972184241135,-0.028558576068401884,1.1564187939323877e-20,8.353484899056323e-08,-4.811134814161983e-09,-4.810363135030914e-09,4.7070765673201884e-09,1.029445807650404e-10
99.99999999999999,0.702666417977191,-0.030699368329738547,5.851699695079596e-21,4.226710292939243e-08,-2.434345472911383e-09,-2.433531106932272e-09,2.3816953378371445e-09,5.208809287874144e-11
144.11518807585588,0.9999945479345629,-0.05597660695487667,5.699758239455315e-21,4.116460910671268e-08,-2.3708471399160697e-09,-2.369373692987606e-09,2.319572626101346e-09,5.072946288239027e-11
