Time (s),Volume (m^3),N2,Ar,He,Ne,toluene(1),tolyl(2),C7H8O(3),MHCHD(4),C7H6O(5),O2(6),C7H7O2(7),OH(8),C7H6O2(9),C7H6O2(10),H2O(14),S(514),S(513)
1.023e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.209489389512192e-31,0.0,6.047962803256453e-35,0.0,0.2099999999789998,9.698957923438156e-37,9.999999998999985e-16,0.0,0.0,6.209499088470117e-31,2.086075760227156e-40,5.723091868509637e-41
2.047e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.2423293787071087e-30,0.0,1.2100094102519446e-34,0.0,0.2099999999789998,3.8816148958622303e-36,9.99999999899998e-16,0.0,0.0,1.2423332603220046e-30,8.347938001082947e-40,2.287972485472303e-40
4.095e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,2.4850844327853193e-30,0.0,2.4204197319199375e-34,0.0,0.2099999999789998,1.5530486669831757e-35,9.999999998999968e-16,0.0,0.0,2.4850999632719894e-30,3.339453347831286e-39,9.134612691286967e-40
8.191e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,4.970571239425919e-30,0.0,4.841176756232579e-34,0.0,0.2099999999789998,6.21297460330682e-35,9.999999998999942e-16,0.0,0.0,4.970633369171952e-30,1.335478899422891e-38,3.638675093162946e-39
1e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.0682668766108056e-30,0.0,5.910249080356002e-34,0.0,0.2099999999789998,1.0329218834646441e-34,9.999999998999932e-16,0.0,0.0,6.068370168799151e-30,2.219435908806003e-38,6.022100896106395e-39
1.6383e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,9.941451648391419e-30,0.0,9.68243738598331e-34,0.0,0.2099999999789998,2.485325804340309e-34,9.999999998999893e-16,0.0,0.0,9.941700180971852e-30,5.338450608027894e-38,1.4431944400909064e-38
3.2767e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.9882839663039792e-29,0.0,1.9363953233426318e-33,0.0,0.2099999999789998,9.941415317645752e-34,9.999999998999794e-16,0.0,0.0,1.9883833804571558e-29,2.132405071004718e-37,5.676312200411163e-38
6.5535e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.9764124591039e-29,0.0,3.872302645122176e-33,0.0,0.2099999999789998,3.9764607315729155e-33,9.999999998999595e-16,0.0,0.0,3.9768101051770574e-29,8.505505071235295e-37,2.19675188246853e-37
9.999999999999999e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.067189188980711e-29,0.0,5.90765904388094e-33,0.0,0.2099999999789998,1.0249404721231971e-32,9.999999998999386e-16,0.0,0.0,6.068214129452833e-29,2.1823468308303342e-36,5.378734969864419e-37
1.31071e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,7.952073093637679e-29,0.0,7.74258022960076e-33,0.0,0.2099999999789998,1.5904609790220702e-32,9.999999998999197e-16,0.0,0.0,7.953663554616701e-29,3.382992226852216e-36,8.247366814010008e-37
2.62143e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.5901009673850017e-28,0.0,1.5477303254048783e-32,0.0,0.2099999999789998,6.360779645341165e-32,9.999999998998402e-16,0.0,0.0,1.5907370453495358e-28,1.338069811582887e-35,2.9341817267149674e-36
5.24287e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.178934979869407e-28,0.0,3.0925351482178013e-32,0.0,0.2099999999789998,2.5434452556069773e-31,9.99999999899681e-16,0.0,0.0,3.181478425125014e-28,5.235124533166915e-35,9.57575714380977e-36
9.999999999999999e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.058738003728011e-28,0.0,5.889069398231687e-32,0.0,0.2099999999789998,9.460521787974241e-31,9.999999998993923e-16,0.0,0.0,6.0681985255159855e-28,1.8686498301355511e-34,2.6081695988451693e-35
1.0485750000000002e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.3527943609937e-28,0.0,6.174623190527516e-32,0.0,0.2099999999789998,1.0166823681258095e-30,9.99999999899363e-16,0.0,0.0,6.362961184674958e-28,2.006001653774965e-34,2.776711551530609e-35
2.0971510000000003e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.2685315023424426e-27,0.0,1.2313873005496707e-31,0.0,0.2099999999789998,4.061168034636984e-30,9.999999998987265e-16,0.0,0.0,1.2725926703770797e-27,7.397760054534066e-34,7.073452873698873e-35
4.194303e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,2.52898543595211e-27,0.0,2.4518196971886165e-31,0.0,0.2099999999789998,1.6200338242517742e-29,9.999999998974539e-16,0.0,0.0,2.545185774194628e-27,2.5549019201818226e-33,1.6165175593524707e-34
8.388607e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,5.025922626918718e-27,0.0,4.874647520569545e-31,0.0,0.2099999999789998,6.444935490452751e-29,9.999999998949084e-16,0.0,0.0,5.0903719818232454e-27,7.987767798245194e-33,3.44569150790578e-34
9.999999999999999e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,5.967139586712397e-27,0.0,5.7993656077948316e-31,0.0,0.2099999999789998,1.0105737838540875e-28,9.999999998939304e-16,0.0,0.0,6.068196965097805e-27,1.068523239136923e-32,4.144614591819415e-34
1.6777215e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,9.92572057730136e-27,0.0,9.688555452553081e-31,0.0,0.2099999999789998,2.5502381975320726e-28,9.999999998898175e-16,0.0,0.0,1.0180744397054567e-26,2.2030259645731844e-32,7.08415324449183e-34
3.3554431e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899999e-11,1.936292657034965e-26,0.0,1.9280499283980465e-30,0.0,0.2099999999789998,9.985626570638994e-28,9.999999998796357e-16,0.0,0.0,2.0361489227413545e-26,5.370532170018449e-32,1.4332325561595436e-33
6.7108863e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999987e-11,3.689116536838955e-26,0.0,3.8440783405464676e-30,0.0,0.2099999999789998,3.831813519327326e-27,9.999999998592722e-16,0.0,0.0,4.072297888771688e-26,1.1941773839004988e-31,2.8809285352911256e-33
9.999999999999998e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999986e-11,5.178518211813778e-26,0.0,5.7218165012993814e-30,0.0,0.2099999999789998,8.896785969987686e-27,9.999999998393113e-16,0.0,0.0,6.068196808812546e-26,1.8424622732664856e-31,4.299665454050707e-33
1.34217727e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999983e-11,6.727991551930639e-26,0.0,7.675289005522186e-30,0.0,0.2099999999789998,1.416604268735861e-26,9.999999998185453e-16,0.0,0.0,8.1445958206665e-26,2.516894274889007e-31,5.775623934018627e-33
2.68435455e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999975e-11,1.1377429520663535e-25,0.0,1.533755155021438e-29,0.0,0.2099999999789998,4.9117621631291726e-26,9.999999997370915e-16,0.0,0.0,1.628919168379271e-25,5.163917210395323e-31,1.1564883991622967e-32
5.36870911e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999958e-11,1.7137380127447398e-25,0.0,3.066206138100507e-29,0.0,0.2099999999789998,1.5441003279944065e-25,9.999999995741836e-16,0.0,0.0,3.2578383407391454e-25,1.0458115767134686e-30,2.3143391543219708e-32
