Time (s),dln[tolyl(2)]/dln[k2]: OH(8)+toluene(1)=H2O(14)+tolyl(2),dln[tolyl(2)]/dln[k3]: O2(6)+tolyl(2)=C7H7O2(7)
0.0,0.0,0.0
1e-15,0.9999999999999974,-2.2888259178743004e-09
3.0000000000000002e-15,0.9999999999999969,-4.359668411387393e-09
7e-15,0.9999999999999972,-1.0761497229457886e-08
1.5e-14,0.9999999999999972,-2.3065687192220673e-08
3.1e-14,0.9999999999999973,-4.7520384167139454e-08
6.300000000000001e-14,0.9999999999999973,-9.636731644101886e-08
1.2700000000000001e-13,0.999999999999997,-1.9403282520641637e-07
2.55e-13,0.9999999999999973,-3.8935027921064755e-07
5.11e-13,0.999999999999997,-7.799784169737355e-07
1e-12,0.9775024629054425,-1.5085878588237622e-06
1.023e-12,0.9999999999999968,-1.5612307728674956e-06
2.047e-12,0.9999999999999967,-3.1237312453236636e-06
4.095e-12,0.9999999999999957,-6.24872091762236e-06
8.191e-12,0.9999999999999938,-1.2498658005737025e-05
1e-11,0.6103778320728479,-1.0389153921469344e-05
1.6383e-11,0.9999999999999905,-2.499836457319377e-05
3.2767e-11,0.9999999999999839,-4.999710799973205e-05
6.5535e-11,0.9999999999999706,-9.999191653192585e-05
9.999999999999999e-11,0.7629677719115892,-0.0001288689326541084
1.31071e-10,0.9999999999999443,-0.00019997082176405808
2.62143e-10,0.9999999999998911,-0.00039988579518234233
5.24287e-10,0.9999999999997852,-0.0007995444753943683
9.999999999999999e-10,0.953712239360119,-0.001487175386483398
1.0485750000000002e-09,0.999999999999573,-0.0015981774207806357
2.0971510000000003e-09,0.9999999999991486,-0.003192710852006872
4.194303e-09,0.999999999998299,-0.006370889307205273
8.388607e-09,0.9999999999965976,-0.012684021279479289
9.999999999999999e-09,0.6011794619570271,-0.010018074149945424
1.6777215e-08,0.9999999999931853,-0.02513997166989869
3.3554431e-08,0.9999999999863244,-0.04939063848838216
6.7108863e-08,0.999999999972459,-0.09539720186458858
9.999999999999998e-08,0.7696974882172906,-0.11415333526844322
1.34217727e-07,0.9999999999441742,-0.17849250470807276
2.68435455e-07,0.99999999988554,-0.31575231787745695
5.36870911e-07,0.9999999997611159,-0.510423397841788
9.999999999999997e-07,0.968172784407416,-0.6812444447728975
1.0737418230000002e-06,0.9999999994906813,-0.7272754858451137
2.1474836470000003e-06,0.9999999988993035,-0.896263028376355
4.294967295e-06,0.9999999976384506,-0.9766404203102806
8.589934591e-06,0.9999999950487931,-0.9972077252974573
9.999999999999997e-06,0.9994302424796361,-0.9970703210924606
1.7179869183e-05,0.9999999898395742,-0.9998318383840098
3.4359738367e-05,0.9999999794147326,-0.9999947557468282
6.8719476735e-05,0.9999999585643814,-0.9999994495073443
9.999999999999998e-05,0.9999996967727127,-0.9999990229497129
0.000137438953471,0.999999916863656,-0.9999990458357167
0.000274877906943,0.9999998334622456,-0.9999980948325438
0.000549755813887,0.9999996666595984,-0.9999961988197485
0.0009999999999999998,0.9999987724932838,-0.9999924951744934
0.001099511627775,0.9999993330549812,-0.9999924347909016
0.002199023255551,0.9999986658484086,-0.9999850170929876
0.004398046511103,0.9999973314454795,-0.9999706103772387
0.008796093022207001,0.9999946626773119,-0.9999434153294534
0.009999999999999998,0.9999565841185201,-0.9998994166858728
0.017592186044415002,0.999989325269489,-0.9998948100835288
0.035184372088831004,0.9999786508300592,-0.9998162892134138
0.070368744177663,0.99995730277337,-0.9997098922107748
0.09999999999999998,0.9999009134196645,-0.9996255834268609
0.140737488355327,0.9999146076779301,-0.9996008710703693
0.281474976710655,0.9998292182070233,-0.9995257714268218
0.562949953421311,0.999658446232354,-0.9994945191397631
0.9999999999999998,0.9994680813826374,-0.9995636279722832
1.1258999068426232,0.9993169518955693,-0.9994872602059391
2.2517998136852473,0.9986341900015453,-0.999486365051828
4.5035996273704955,0.9972695886676219,-0.9994863080825976
9.007199254740993,0.9945440729428582,-0.9994863062389742
9.999999999999998,0.9987823751639694,-1.0043478577037452
18.014398509481985,0.9891077316818935,-0.9994863062083275
36.02879701896397,0.9782933487472008,-0.9994863062070117
72.05759403792794,0.9568941575818405,-0.9994863062049198
99.99999999999999,0.9662712513955183,-1.0262551849952015
144.11518807585588,0.9149861014074283,-0.9994863062009135
