Time (s),Volume (m^3),N2,Ar,He,Ne,toluene(1),tolyl(2),C7H8O(3),MHCHD(4),C7H6O(5),O2(6),C7H7O2(7),OH(8),C7H6O2(9),C7H6O2(10),H2O(14),S(514),S(513),S(512),S(656),S(637),S(872)
4.194303e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,2.52898543595211e-27,0.0,2.451802010462134e-31,0.0,0.2099999999789998,1.6200337460689176e-29,9.999999998974539e-16,0.0,0.0,2.545185774194628e-27,2.554833565688834e-33,1.6165059090597402e-34,1.7698765602796493e-36,6.831561018916097e-38,7.673398565175094e-37,1.4488708293569625e-38
8.388607e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,5.025922626918718e-27,0.0,4.8746119151197265e-31,0.0,0.2099999999789998,6.444934868270739e-29,9.999999998949084e-16,0.0,0.0,5.0903719818232454e-27,7.987588542388913e-33,3.4456663578950952e-34,3.528579733235627e-36,2.1373610601617058e-37,5.999066322306818e-36,2.227537976455287e-37
9.999999999999999e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,5.967139586712397e-27,0.0,5.7993229717330816e-31,0.0,0.2099999999789998,1.0105736389662348e-28,9.999999998939304e-16,0.0,0.0,6.068196965097805e-27,1.068501328247022e-32,4.144584137449473e-34,4.1998064919268394e-36,2.859540191324266e-37,1.3674533758044575e-35,8.142514942709949e-37
1.6777215e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,9.92572057730136e-27,0.0,9.688483247063735e-31,0.0,0.2099999999789998,2.5502377049512606e-28,9.999999998898175e-16,0.0,0.0,1.0180744397054567e-26,2.2029872922452623e-32,7.084100480987409e-34,7.0228596250877e-36,5.896889391923918e-37,4.5956101964865344e-35,3.301979231722729e-36
3.3554431e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899999e-11,1.936292657034965e-26,0.0,1.9280352343718766e-30,0.0,0.2099999999789998,9.985622710059653e-28,9.999999998796357e-16,0.0,0.0,2.0361489227413545e-26,5.370460357523345e-32,1.4332216370812722e-33,1.3985288314490166e-35,1.4377818848178853e-36,3.4017108335450757e-34,4.588685073208395e-35
6.7108863e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999987e-11,3.689116536838955e-26,0.0,3.844048547028138e-30,0.0,0.2099999999789998,3.831810551471344e-27,9.999999998592722e-16,0.0,0.0,4.072297888771688e-26,1.1941646402177913e-31,2.880906209682502e-33,2.789295125814345e-35,3.1972609513160614e-36,2.3932287855380087e-33,5.7462719799012834e-34
9.999999999999998e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999986e-11,5.178518211813778e-26,0.0,5.7217718701005296e-30,0.0,0.2099999999789998,8.896773664999448e-27,9.999999998393113e-16,0.0,0.0,6.068196808812546e-26,1.8424443631138502e-31,4.299631917999198e-33,4.1522670106625893e-35,4.9330800599366147e-36,8.968656755673403e-33,3.336331485773964e-33
1.34217727e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999983e-11,6.727991551930639e-26,0.0,7.675228938198357e-30,0.0,0.2099999999789998,1.41660206686459e-26,9.999999998185453e-16,0.0,0.0,8.1445958206665e-26,2.516870989888505e-31,5.7755787353762445e-33,5.57021129955758e-35,6.738909526402354e-36,1.580928981710443e-32,6.209422901680835e-33
2.68435455e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999975e-11,1.1377429520663526e-25,0.0,1.5337430917282745e-29,0.0,0.2099999999789998,4.911746797968349e-26,9.999999997370915e-16,0.0,0.0,1.628919168379271e-25,5.163872991859562e-31,1.1564793032401505e-32,1.1131927971369668e-34,1.3826464721209167e-35,9.763044785894262e-32,5.602116049224353e-32
5.36870911e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999958e-11,1.7137380127447276e-25,0.0,3.0661819614739433e-29,0.0,0.2099999999789998,1.5440905715389044e-25,9.999999995741836e-16,0.0,0.0,3.2578383407391454e-25,1.0458029699749863e-30,2.3143209061125307e-32,2.2255350198772324e-34,2.8001984233803693e-35,5.598782654568095e-31,4.157672859571301e-31
9.999999999999997e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899993e-11,2.1596088354438424e-25,0.0,5.710083817276536e-29,0.0,0.2099999999789998,3.908539372170348e-25,9.999999992931204e-16,0.0,0.0,6.068196790942776e-25,1.9591993328590542e-30,4.3119337416669437e-32,4.144648222238015e-34,5.245888773075902e-35,2.6066188051789634e-30,2.251714053370833e-30
1.0737418230000002e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999926e-11,2.2306027074965276e-25,0.0,6.131059625772918e-29,0.0,0.2099999999789998,4.28501921135559e-25,9.99999999248368e-16,0.0,0.0,6.515676684397432e-25,2.1046350537421385e-30,4.630004050012405e-32,4.4502194105885985e-34,5.635304314365854e-35,2.9325114821710505e-30,2.5440430492721127e-30
2.1474836470000003e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999861e-11,2.5295751171274314e-25,0.0,1.2260814948561607e-28,0.0,0.2099999999789998,1.0501508806167509e-24,9.99999998596737e-16,0.0,0.0,1.3031353367468144e-24,4.222299238059925e-30,9.26137033329982e-32,8.899588187789955e-34,1.1305516141305188e-34,1.3855741644448808e-29,1.3088675676009156e-29
4.294967295e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999731e-11,2.630661023486597e-25,0.0,2.4520325578139196e-28,0.0,0.2099999999789998,2.343086867381757e-24,9.999999972934747e-16,0.0,0.0,2.6062706716626126e-24,8.457627601398526e-30,1.8524102887784427e-31,1.779832573057894e-33,2.264593978100117e-34,5.924016818705155e-29,5.846176400878798e-29
8.589934591e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899947e-11,2.649328100936963e-25,0.0,4.903934677338417e-28,0.0,0.2099999999789998,4.9471451629326194e-24,9.999999946869503e-16,0.0,0.0,5.212541334700833e-24,1.6928284305997907e-29,3.7049567948465973e-31,3.559580076976679e-33,4.532678700127803e-34,2.3069520916632764e-28,2.3266646535147927e-28
9.999999999999997e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999385e-11,2.6496247481363593e-25,0.0,5.70890992131564e-28,0.0,0.2099999999789998,5.802577534363864e-24,9.999999938312115e-16,0.0,0.0,6.068196764884457e-24,1.9709255411302285e-29,4.31315973403675e-31,4.1438826352952454e-33,5.277305509630835e-34,3.2626019826133537e-28,3.304955086943582e-28
1.7179869183e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998998949e-11,2.6511352369913945e-25,0.0,9.807738890823382e-28,0.0,0.2099999999789998,1.0158327617004054e-23,9.999999894739012e-16,0.0,0.0,1.0425082633603768e-23,3.3869597626879884e-29,7.41004978766788e-31,7.119075066258243e-33,9.068848120535664e-34,8.128646605774372e-28,8.28628239996548e-28
3.4359738367e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998997906e-11,2.6512251544525413e-25,0.0,1.9615347215537204e-27,0.0,0.2099999999789998,2.0579899328892424e-23,9.999999790478034e-16,0.0,0.0,2.0850165122715618e-23,6.775222391537672e-29,1.4820235696050347e-30,1.4238064970597338e-32,1.8141186866761346e-33,2.5402023056825478e-27,2.6030760722578747e-27
6.8719476735e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998995821e-11,2.6512279827112835e-25,0.0,3.92305634559404e-27,0.0,0.2099999999789998,4.142115077984683e-23,9.99999958195608e-16,0.0,0.0,4.170032966616325e-23,1.3551747507930187e-28,2.9640607203774887e-30,2.847604448237941e-32,3.6285863980852545e-33,6.933224983870574e-27,7.122863061418791e-27
9.999999999999998e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998993923e-11,2.6512285213841577e-25,0.0,5.708792301425349e-27,0.0,0.2099999999789998,6.039375733707726e-23,9.999999392121235e-16,0.0,0.0,6.068196517499934e-23,1.972098082538421e-28,4.313282159272906e-30,4.1438059094386605e-32,5.2804469706361524e-33,1.138217496401766e-26,1.170281081964236e-26
0.000137438953471,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899165e-11,2.6512291661095826e-25,0.0,7.84609943006491e-27,0.0,0.2099999999789998,8.310164262729925e-23,9.99999916491219e-16,0.0,0.0,8.34006570139543e-23,2.7104797175487847e-28,5.928134898306242e-30,5.695200231835909e-32,7.257521669559433e-33,1.6707022949789782e-26,1.7184447094301502e-26
0.000274877906943,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999898331e-11,2.651231476170898e-25,0.0,1.5692184944567625e-26,0.0,0.2099999999789998,1.664614013097491e-22,9.99999833082448e-16,0.0,0.0,1.6680130475312014e-22,5.421089424969387e-28,1.185628275969918e-29,1.1390391323998113e-31,1.4515391607131614e-32,3.6853268487795165e-26,3.792702726617469e-26
