Time (s),Volume (m^3),N2,Ar,He,Ne,toluene(1),tolyl(2),C7H8O(3),MHCHD(4),C7H6O(5),O2(6),C7H7O2(7),OH(8),C7H6O2(9),C7H6O2(10),H2O(14),S(514),S(513),S(512),S(656),S(637)
4.095e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,2.4850844327853193e-30,0.0,2.4204178544298043e-34,0.0,0.2099999999789998,1.5530486669099986e-35,9.999999998999968e-16,0.0,0.0,2.4850999632719894e-30,3.3394173222929065e-39,9.134606576538253e-40,1.8775184871329696e-40,3.3801613730497034e-44,7.317694421742201e-46
8.191e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,4.970571239425919e-30,0.0,4.841169886543019e-34,0.0,0.2099999999789998,6.212974602721318e-35,9.999999998999942e-16,0.0,0.0,4.970633369171952e-30,1.3354574570178823e-38,3.638670609461636e-39,6.869897583856418e-40,1.9810538867316908e-43,5.855019599598938e-45
1e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.0682668766108056e-30,0.0,5.9102385561454206e-34,0.0,0.2099999999789998,1.0329218833155817e-34,9.999999998999932e-16,0.0,0.0,6.068370168799151e-30,2.2193940492608736e-38,6.022090633437263e-39,1.0524687524731628e-39,3.8116367297157425e-43,1.4906252980925237e-44
1.6383e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,9.941451648391419e-30,0.0,9.68241396690945e-34,0.0,0.2099999999789998,2.4853258038718765e-34,9.999999998999893e-16,0.0,0.0,9.941700180971852e-30,5.338336707241534e-38,1.4431913747332463e-38,2.3420499682059685e-39,1.0270791117093963e-42,4.684324727224957e-44
3.2767e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.9882839663039792e-29,0.0,1.9363881332291385e-33,0.0,0.2099999999789998,9.941415313898226e-34,9.999999998999794e-16,0.0,0.0,1.9883833804571558e-29,2.1323501766720496e-37,5.676293349862327e-38,7.190996234382288e-39,4.795197530314148e-42,3.747525117467452e-43
6.5535e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.9764124591039e-29,0.0,3.87228321157685e-33,0.0,0.2099999999789998,3.9764607285749626e-33,9.999999998999595e-16,0.0,0.0,3.9768101051770574e-29,8.50525883795331e-37,2.1967417667850635e-37,1.9438351944683138e-38,2.0828276863163265e-41,2.997953028905999e-42
9.999999999999999e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.067189188980711e-29,0.0,5.907625340660606e-33,0.0,0.2099999999789998,1.02494047071987e-32,9.999999998999386e-16,0.0,0.0,6.068214129452833e-29,2.1822800395409497e-36,5.378705541168686e-37,3.3717542420042705e-38,5.541207124840117e-41,1.4033269935765366e-41
1.31071e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,7.952073093637679e-29,0.0,7.742533661936144e-33,0.0,0.2099999999789998,1.5904609766238836e-32,9.999999998999197e-16,0.0,0.0,7.953663554616701e-29,3.3828874201639624e-36,8.247319974184024e-37,4.65905651172688e-38,8.659016715276e-41,2.398186507904195e-41
2.62143e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.5901009673850017e-28,0.0,1.5477200893387612e-32,0.0,0.2099999999789998,6.360779626158763e-32,9.999999998998402e-16,0.0,0.0,1.5907370453495358e-28,1.3380270021786982e-35,2.934162942177103e-36,1.0245727028175478e-37,3.5026946549960804e-40,1.9182403641310056e-40
5.24287e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.178934979869407e-28,0.0,3.0925137288594425e-32,0.0,0.2099999999789998,2.5434452402661034e-31,9.99999999899681e-16,0.0,0.0,3.181478425125014e-28,5.234956224632761e-35,9.575691858771607e-36,2.1455596085990357e-37,1.3859931061792754e-39,1.5340873999622295e-39
