Time (s),Volume (m^3),N2,Ar,He,Ne,toluene(1),tolyl(2),C7H8O(3),MHCHD(4),C7H6O(5),O2(6),C7H7O2(7),OH(8),C7H6O2(9),C7H6O2(10),H2O(14),S(514),S(513),S(512)
6.5535e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.9764124591039e-29,0.0,3.872283211688971e-33,0.0,0.2099999999789998,3.9764607315729155e-33,9.999999998999595e-16,0.0,0.0,3.9768101051770574e-29,8.505465999461908e-37,2.196741766835983e-37,1.9438351945176292e-38
9.999999999999999e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.067189188980711e-29,0.0,5.9076253412044666e-33,0.0,0.2099999999789998,1.0249404721231971e-32,9.999999998999386e-16,0.0,0.0,6.068214129452833e-29,2.1823349077034897e-36,5.378705541615165e-37,3.371754242297508e-38
1.31071e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,7.952073093637679e-29,0.0,7.74253366286923e-33,0.0,0.2099999999789998,1.5904609790220702e-32,9.999999998999197e-16,0.0,0.0,7.953663554616701e-29,3.3829730771602447e-36,8.247319974987107e-37,4.6590565122400184e-38
2.62143e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.5901009673850017e-28,0.0,1.547720090088811e-32,0.0,0.2099999999789998,6.360779645341165e-32,9.999999998998402e-16,0.0,0.0,1.5907370453495358e-28,1.3380612789538809e-35,2.9341629433416578e-36,1.0245727032878397e-37
5.24287e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.178934979869407e-28,0.0,3.0925137346925855e-32,0.0,0.2099999999789998,2.5434452556069773e-31,9.99999999899681e-16,0.0,0.0,3.181478425125014e-28,5.235088989249726e-35,9.575691873884005e-36,2.1455596125271562e-37
9.999999999999999e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.058738003728011e-28,0.0,5.889027790978876e-32,0.0,0.2099999999789998,9.460521787974241e-31,9.999999998993923e-16,0.0,0.0,6.0681985255159855e-28,1.8686367528591435e-34,2.6081512890183355e-35,4.175633540194346e-37
1.0485750000000002e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.3527943609937e-28,0.0,6.174579521295491e-32,0.0,0.2099999999789998,1.0166823681258095e-30,9.99999999899363e-16,0.0,0.0,6.362961184674958e-28,2.0059876041178917e-34,2.7766920385599177e-35,4.382924156672001e-37
2.0971510000000003e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.2685315023424426e-27,0.0,1.231378518568049e-31,0.0,0.2099999999789998,4.061168034636984e-30,9.999999998987265e-16,0.0,0.0,1.2725926703770797e-27,7.397707517904516e-34,7.073402526467049e-35,8.839552974242965e-37
4.194303e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,2.52898543595211e-27,0.0,2.4518021921552027e-31,0.0,0.2099999999789998,1.6200338242517742e-29,9.999999998974539e-16,0.0,0.0,2.545185774194628e-27,2.5548837006442912e-33,1.6165060212322037e-34,1.7698766909542678e-36
8.388607e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,5.025922626918718e-27,0.0,4.874612828002686e-31,0.0,0.2099999999789998,6.444935490452751e-29,9.999999998949084e-16,0.0,0.0,5.0903719818232454e-27,7.98771092719992e-33,3.4456669812872257e-34,3.528580392938987e-36
