Time (s),dln[C7H7O2(7)]/dln[k2]: OH(8)+toluene(1)=H2O(14)+tolyl(2),dln[C7H7O2(7)]/dln[k3]: O2(6)+tolyl(2)=C7H7O2(7),dln[C7H7O2(7)]/dln[k8]: C7H7O2(7)=S(637),dln[C7H7O2(7)]/dln[k17]: O2(6)+S(637)=HO2(15)+C7H6O2(9),dln[C7H7O2(7)]/dG[C7H7O2(7)],dln[C7H7O2(7)]/dG[S(637)]
1e-11,0.4155912570041927,0.415584438567697,-5.997428284169797e-11,-4.794990898628827e-23,-3.502154075694983e-14,6.210221548817371e-17
1.6383e-11,0.9999999999999916,0.9999785723006395,-1.8847642717004997e-10,-1.9557662250617323e-22,-1.1009436637136476e-13,2.304203716690056e-16
3.2767e-11,0.9999999999999859,0.9999571448521354,-3.7695764094659855e-10,-1.5643796351476126e-21,-2.2064822522828376e-13,9.216169341496069e-16
6.5535e-11,0.9999999999999748,0.999914292342628,-7.539200468466975e-10,-1.2510976725419098e-20,-4.4312557084141174e-13,3.685853148485819e-15
9.999999999999999e-11,0.644428521680509,0.6443282224737822,-8.823321974079204e-10,-5.408456489848615e-20,-5.224412967605949e-13,8.187728105631034e-15
1.31071e-10,0.9999999999999514,0.9998285968722955,-1.5078447764046527e-09,-1.0002313738825184e-19,-8.935556306745054e-13,1.473837967649745e-14
2.62143e-10,0.9999999999999063,0.9996572441166733,-3.0156939328221184e-09,-7.991818740312988e-19,-1.8162930843706254e-12,5.891404777647501e-14
5.24287e-10,0.9999999999998156,0.9993146912685201,-6.031391232362251e-09,-6.378004967059448e-18,-3.749091741236702e-12,2.3535321747672563e-13
9.999999999999999e-10,0.9305287241074374,0.9292699471417275,-1.1084969642270234e-08,-4.622788335089269e-17,-7.311715385004781e-12,8.575474232827083e-13
1.0485750000000002e-09,0.9999999999996335,0.9986301956088687,-1.2062783304111636e-08,-5.078528169539684e-17,-7.962543611546799e-12,9.39099416818862e-13
2.0971510000000003e-09,0.9999999999992699,0.9972636395213023,-2.412556920806339e-08,-4.0257924941268794e-16,-1.7769627678952954e-11,3.73856211662119e-12
4.194303e-09,0.9999999999985424,0.9945402291242645,-4.8251239341674555e-08,-3.1636514867601926e-15,-4.281774519128491e-11,1.48155756816884e-11
8.388607e-09,0.9999999999970866,0.9891319049500832,-9.650365098491716e-08,-2.4456231521301615e-14,-1.1400012458312466e-10,5.81901331955015e-11
9.999999999999999e-09,0.3962664314248402,0.38991107831909255,-5.678078493392158e-08,-4.026051169313872e-14,-8.7844960774433e-11,5.5041389515648443e-11
1.6777215e-08,0.9999999999941714,0.9784668015435686,-1.9301745480958156e-07,-1.8359438731041657e-13,-3.361348976072093e-10,2.2468547992704402e-10
3.3554431e-08,0.9999999999883286,0.957723896864049,-3.861094264347712e-07,-1.3150413937897362e-12,-1.0706812284599528e-09,8.413672265672208e-10
6.7108863e-08,0.9999999999765946,0.9184460418266113,-7.726847371902723e-07,-8.856701937444503e-12,-3.5507644546844826e-09,3.0004506950630086e-09
9.999999999999998e-08,0.6280361896999531,0.542157625356961,-8.651529411218089e-07,-2.8885087166827632e-11,-6.355512214349676e-09,5.345169092821476e-09
1.34217727e-07,0.9999999999529434,0.8477286652777406,-1.5477642261988711e-06,-5.644288855110083e-11,-1.196816463194021e-08,1.0061588308650885e-08
2.68435455e-07,0.9999999999049798,0.7313972774006973,-3.1050987707450893e-06,-3.537370431222266e-10,-4.106767798070887e-08,3.211501817741676e-08
5.36870911e-07,0.9999999998068788,0.5664992660456132,-6.236085372107049e-06,-2.2844039936683916e-09,-1.4545148867112458e-07,1.0185311967186435e-07
9.999999999999997e-07,0.9121404550473884,0.35462273622041074,-1.1078128225103796e-05,-1.3389371678682389e-08,-4.652011374660398e-07,2.9472387147270595e-07
1.0737418230000002e-06,0.9999999996046206,0.3785840356782088,-1.2484242528101205e-05,-1.5390226666237874e-08,-5.309274284937544e-07,3.358073942141254e-07
2.1474836470000003e-06,0.9999999991870941,0.21588287346296406,-2.4625099036879316e-05,-1.0418126282562567e-07,-1.939315334937283e-06,1.1618309585550568e-06
4.294967295e-06,0.9999999983325126,0.10964356252510261,-4.7015613668408654e-05,-6.584187065975647e-07,-6.742541638975532e-06,4.078645880213506e-06
8.589934591e-06,0.9999999966039369,0.05339621714839125,-8.582949291985227e-05,-3.567707184527184e-06,-2.118402914350996e-05,1.374861969335151e-05
