Time (s),Volume (m^3),N2,Ar,He,Ne,toluene(1),tolyl(2),C7H8O(3),MHCHD(4),C7H6O(5),O2(6),C7H7O2(7),OH(8),C7H6O2(9),C7H6O2(10),H2O(14),S(514)
4.095e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,2.4850844327853193e-30,0.0,2.420428866424566e-34,0.0,0.2099999999789998,1.5530486669831757e-35,9.999999998999968e-16,0.0,0.0,2.4850999632719894e-30,3.339464154098206e-39
8.191e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,4.970571239425919e-30,0.0,4.841213142122618e-34,0.0,0.2099999999789998,6.21297460330682e-35,9.999999998999942e-16,0.0,0.0,4.970633369171952e-30,1.33548750835031e-38
1e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.0682668766108056e-30,0.0,5.91030929918627e-34,0.0,0.2099999999789998,1.0329218834646441e-34,9.999999998999932e-16,0.0,0.0,6.068370168799151e-30,2.219457695723316e-38
1.6383e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,9.941451648391419e-30,0.0,9.682581698598813e-34,0.0,0.2099999999789998,2.485325804340309e-34,9.999999998999893e-16,0.0,0.0,9.941700180971852e-30,5.338518893070965e-38
3.2767e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.9882839663039792e-29,0.0,1.936452081094131e-33,0.0,0.2099999999789998,9.941415317645752e-34,9.999999998999794e-16,0.0,0.0,1.9883833804571558e-29,2.132458776048386e-37
6.5535e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.9764124591039e-29,0.0,3.872522278760164e-33,0.0,0.2099999999789998,3.9764607315729155e-33,9.999999998999595e-16,0.0,0.0,3.9768101051770574e-29,8.505920573822297e-37
9.999999999999999e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.067189188980711e-29,0.0,5.908196733774016e-33,0.0,0.2099999999789998,1.0249404721231971e-32,9.999999998999386e-16,0.0,0.0,6.068214129452833e-29,2.1825304347395902e-36
1.31071e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,7.952073093637679e-29,0.0,7.743404654613576e-33,0.0,0.2099999999789998,1.5904609790220702e-32,9.999999998999197e-16,0.0,0.0,7.953663554616701e-29,3.383303895435094e-36
2.62143e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.5901009673850017e-28,0.0,1.5480235223979653e-32,0.0,0.2099999999789998,6.360779645341165e-32,9.999999998998402e-16,0.0,0.0,1.5907370453495358e-28,1.3382909911672575e-35
5.24287e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.178934979869407e-28,0.0,3.093491290759144e-32,0.0,0.2099999999789998,2.5434452556069773e-31,9.99999999899681e-16,0.0,0.0,3.181478425125014e-28,5.236557706204738e-35
9.999999999999999e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.058738003728011e-28,0.0,5.891670044260941e-32,0.0,0.2099999999789998,9.460521787974241e-31,9.999999998993923e-16,0.0,0.0,6.0681985255159855e-28,1.8694021870945833e-34
1.0485750000000002e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.3527943609937e-28,0.0,6.17739175661976e-32,0.0,0.2099999999789998,1.0166823681258095e-30,9.99999999899363e-16,0.0,0.0,6.362961184674958e-28,2.00681619970351e-34
2.0971510000000003e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.2685315023424426e-27,0.0,1.2320907072773372e-31,0.0,0.2099999999789998,4.061168034636984e-30,9.999999998987265e-16,0.0,0.0,1.2725926703770797e-27,7.401698614237345e-34
4.194303e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,2.52898543595211e-27,0.0,2.453420218131121e-31,0.0,0.2099999999789998,1.6200338242517742e-29,9.999999998974539e-16,0.0,0.0,2.545185774194628e-27,2.5565015818666347e-33
8.388607e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,5.025922626918718e-27,0.0,4.878038743806276e-31,0.0,0.2099999999789998,6.444935490452751e-29,9.999999998949084e-16,0.0,0.0,5.0903719818232454e-27,7.99321462536256e-33
9.999999999999999e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,5.967139586712397e-27,0.0,5.803436185525688e-31,0.0,0.2099999999789998,1.0105737838540875e-28,9.999999998939304e-16,0.0,0.0,6.068196965097805e-27,1.0692636077465551e-32
1.6777215e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,9.92572057730136e-27,0.0,9.69548326713919e-31,0.0,0.2099999999789998,2.5502381975320726e-28,9.999999998898175e-16,0.0,0.0,1.0180744397054567e-26,2.2045893511570194e-32
3.3554431e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899999e-11,1.936292657034965e-26,0.0,1.9294444049242587e-30,0.0,0.2099999999789998,9.985626570638994e-28,9.999999998796357e-16,0.0,0.0,2.0361489227413545e-26,5.37440777301318e-32
6.7108863e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999987e-11,3.689116536838955e-26,0.0,3.8468725145924645e-30,0.0,0.2099999999789998,3.831813519327326e-27,9.999999998592722e-16,0.0,0.0,4.072297888771688e-26,1.195044928793433e-31
9.999999999999998e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999986e-11,5.178518211813778e-26,0.0,5.725982064808912e-30,0.0,0.2099999999789998,8.896785969987686e-27,9.999999998393113e-16,0.0,0.0,6.068196808812546e-26,1.8438032927116708e-31
1.34217727e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999983e-11,6.727991551930639e-26,0.0,7.680881270403394e-30,0.0,0.2099999999789998,1.416604268735861e-26,9.999999998185453e-16,0.0,0.0,8.1445958206665e-26,2.5187278654171064e-31
2.68435455e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999975e-11,1.1377429520663535e-25,0.0,1.534873975616358e-29,0.0,0.2099999999789998,4.9117621631291726e-26,9.999999997370915e-16,0.0,0.0,1.628919168379271e-25,5.16768399081955e-31
5.36870911e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999958e-11,1.7137380127447398e-25,0.0,3.068444144638075e-29,0.0,0.2099999999789998,1.5441003279944065e-25,9.999999995741836e-16,0.0,0.0,3.2578383407391454e-25,1.0465749028810112e-30
9.999999999999997e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899993e-11,2.159608835443928e-25,0.0,5.7142978200269e-29,0.0,0.2099999999789998,3.908587955498848e-25,9.999999992931204e-16,0.0,0.0,6.068196790942776e-25,1.960645566482045e-30
1.0737418230000002e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999926e-11,2.230602707496625e-25,0.0,6.135584407392229e-29,0.0,0.2099999999789998,4.285073976900807e-25,9.99999999248368e-16,0.0,0.0,6.515676684397432e-25,2.1061886530333638e-30
2.1474836470000003e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999861e-11,2.5295751171280407e-25,0.0,1.226986492708607e-28,0.0,0.2099999999789998,1.0501778250340102e-24,9.99999998596737e-16,0.0,0.0,1.3031353367468144e-24,4.2254161701285e-30
4.294967295e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999731e-11,2.630661023489669e-25,0.0,2.4538425950462144e-28,0.0,0.2099999999789998,2.343204569313646e-24,9.999999972934747e-16,0.0,0.0,2.6062706716626126e-24,8.463871199017815e-30
8.589934591e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899947e-11,2.649328100950017e-25,0.0,4.90755479332569e-28,0.0,0.2099999999789998,4.947608524605832e-24,9.999999946869503e-16,0.0,0.0,5.212541334700833e-24,1.694078123470232e-29
9.999999999999997e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999385e-11,2.6496247481551585e-25,0.0,5.713124297806138e-28,0.0,0.2099999999789998,5.80323429006894e-24,9.999999938312115e-16,0.0,0.0,6.068196764884457e-24,1.9723805348842505e-29
1.7179869183e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998998949e-11,2.6511352370394534e-25,0.0,9.81497916430174e-28,0.0,0.2099999999789998,1.0159969109899823e-23,9.999999894739012e-16,0.0,0.0,1.0425082633603768e-23,3.389460121768935e-29
3.4359738367e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998997906e-11,2.651225154606023e-25,0.0,1.962982780392224e-27,0.0,0.2099999999789998,2.0585042607255013e-23,9.999999790478034e-16,0.0,0.0,2.0850165122715618e-23,6.78022408301355e-29
6.8719476735e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998995821e-11,2.6512279831346314e-25,0.0,3.925952467383684e-27,0.0,0.2099999999789998,4.1435206867849785e-23,9.99999958195608e-16,0.0,0.0,4.170032966616325e-23,1.3561751864091608e-28
9.999999999999998e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998993923e-11,2.651228522081466e-25,0.0,5.7130067151198416e-27,0.0,0.2099999999789998,6.041684232279119e-23,9.999999392121235e-16,0.0,0.0,6.068196517499934e-23,1.973553952246875e-28
0.000137438953471,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899165e-11,2.651229167134789e-25,0.0,7.851891677636052e-27,0.0,0.2099999999789998,8.313553409724082e-23,9.99999916491219e-16,0.0,0.0,8.34006570139543e-23,2.712480686060309e-28
0.000274877906943,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999898331e-11,2.651231478437476e-25,0.0,1.5703769443218636e-26,0.0,0.2099999999789998,1.6653618160527642e-22,9.99999833082448e-16,0.0,0.0,1.6680130475312014e-22,5.425091459104767e-28
0.000549755813887,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998966628e-11,2.6512361006821786e-25,0.0,3.140752235469561e-26,0.0,0.2099999999789998,3.3333744879572336e-22,9.99999666264934e-16,0.0,0.0,3.3360257240579153e-22,1.0850312100162477e-27
